run_period	revision	variation	timestamp
RunPeriod-2016-02	1	default	2016-07-05T14:20:00Z
RunPeriod-2016-02	2	default	2016-09-02T14:42:00Z
RunPeriod-2016-02	3	default	2016-11-04T14:57:00Z
RunPeriod-2016-02	4	default	2017-05-19T11:58:00Z
RunPeriod-2016-02	5	default	2018-01-24T17:10:00Z
RunPeriod-2016-02	6	default	2018-07-27T17:14:00Z
RunPeriod-2017-01	1	default	2017-06-12T18:02:00Z
RunPeriod-2017-01	2	default	2017-11-27T19:05:00Z
RunPeriod-2017-01	3	default	2018-07-27T17:14:00Z
RunPeriod-2017-01	4	default	2020-07-24T00:00:01Z
RunPeriod-2017-01	5	recon_2017_01_ver05	2025-11-26T13:41:24Z
RunPeriod-2018-01	0	default	2018-12-29T17:52:00Z
RunPeriod-2018-01	1	default	2018-12-29T17:52:00Z
RunPeriod-2018-01	2	default	2019-02-14T12:00:00Z
RunPeriod-2018-08	0	default	2019-04-24T17:18:00Z
RunPeriod-2018-08	1	default	2019-05-16T11:04:00Z
RunPeriod-2018-08	2	default	2019-07-21T12:00:00Z
RunPeriod-2019-01	1	default	2019-09-13T14:41:00Z
RunPeriod-2019-01	2	default	2019-10-16T10:55:00Z
RunPeriod-2019-01	7	default	2022-08-10T00:00:01Z
RunPeriod-2019-11	1	default	2020-07-24T00:00:01Z
RunPeriod-2021-08	2	default	2022-12-14T00:00:01Z
RunPeriod-2021-11	1	default	2022-08-10T00:00:01Z
RunPeriod-2021-11	2	default	2024-02-23T00:00:01Z
RunPeriod-2021-11	3	default	2025-07-18T00:00:01Z
RunPeriod-2021-11	4	default	2025-07-18T00:00:01Z
RunPeriod-2021-11	5	default	2026-05-31T00:00:01Z
RunPeriod-2022-05	1	default	2024-06-24T00:00:01Z
RunPeriod-2022-05	2	default	2026-04-02T00:00:01Z
RunPeriod-2022-08	1	default	2024-08-31T00:00:00Z
RunPeriod-2023-01	1	default	2023-12-07T00:00:01Z
RunPeriod-2023-01	2	default	2023-12-07T00:00:01Z
RunPeriod-2023-01	3	default	2024-01-21T16:00:01Z
RunPeriod-2023-01	4	default	2025-05-10T00:00:01Z
RunPeriod-2025-01	1	default	2025-08-27T12:00:01Z
RunPeriod-2025-01	2	default	2025-10-19T02:00:01Z
RunPeriod-2025-01	3	default	2025-12-24T00:00:01Z
